id,Sex,Length,Diameter,Height,Whole weight,Whole weight.1,Whole weight.2,Shell weight,Rings
64091,I,0.325,0.25,0.075,0.155,0.0475,0.0355,0.06,8
64092,M,0.565,0.44,0.17,0.8775,0.2985,0.1965,0.325,17
64093,M,0.545,0.44,0.135,0.7865,0.403,0.185,0.212,9
64094,I,0.55,0.425,0.135,0.7605,0.257,0.161,0.22,13
64095,F,0.435,0.33,0.105,0.4385,0.1715,0.085,0.1335,9
64096,M,0.535,0.4,0.13,0.6435,0.312,0.1405,0.2085,10
64097,F,0.57,0.455,0.145,0.9455,0.4005,0.2015,0.295,11
64098,I,0.585,0.455,0.125,0.9205,0.3965,0.2,0.253,8
64099,M,0.265,0.2,0.065,0.084,0.034,0.0105,0.03,2
64100,M,0.645,0.49,0.16,1.217,0.567,0.2735,0.308,9
64101,M,0.64,0.485,0.195,1.2435,0.5095,0.2675,0.48,15
64102,I,0.375,0.27,0.09,0.197,0.082,0.037,0.058,9
64103,F,0.655,0.525,0.175,1.3295,0.6635,0.271,0.315,12
64104,M,0.57,0.42,0.165,1.011,0.3895,0.164,0.375,21
64105,F,0.49,0.38,0.11,0.5075,0.2525,0.0945,0.155,7
64106,I,0.335,0.27,0.095,0.1385,0.0705,0.045,0.065,5
64107,F,0.53,0.415,0.135,0.658,0.3065,0.1445,0.205,10
64108,I,0.49,0.38,0.13,0.5445,0.279,0.1145,0.1395,10
64109,F,0.61,0.49,0.19,1.2415,0.477,0.2765,0.37,18
64110,M,0.685,0.53,0.175,1.4715,0.6835,0.3375,0.3645,11
64111,I,0.455,0.355,0.115,0.4385,0.1985,0.1045,0.145,8
64112,F,0.6,0.45,0.16,1.153,0.547,0.256,0.3,11
64113,I,0.53,0.45,0.13,0.8245,0.3375,0.2115,0.24,8
64114,M,0.57,0.45,0.145,0.923,0.4205,0.2375,0.2685,12
64115,F,0.6,0.475,0.16,1.1375,0.6245,0.2475,0.315,9
64116,I,0.51,0.385,0.17,0.63,0.2895,0.1405,0.17,10
64117,I,0.59,0.465,0.16,0.9515,0.2905,0.2075,0.305,19
64118,F,0.515,0.41,0.125,0.646,0.2555,0.1555,0.22,12
64119,F,0.575,0.44,0.145,0.936,0.3725,0.178,0.275,8
64120,M,0.51,0.405,0.12,0.6025,0.258,0.1365,0.174,10
64121,F,0.525,0.4,0.18,0.741,0.336,0.161,0.22,8
64122,F,0.575,0.465,0.16,0.9645,0.3795,0.2255,0.275,10
64123,F,0.425,0.305,0.11,0.335,0.1535,0.1005,0.092,7
64124,M,0.58,0.46,0.14,0.849,0.3265,0.1765,0.265,10
64125,M,0.585,0.475,0.135,0.925,0.391,0.2065,0.275,11
64126,F,0.555,0.425,0.145,0.8335,0.3495,0.1695,0.255,12
64127,F,0.71,0.55,0.185,1.931,0.9455,0.4015,0.555,11
64128,F,0.595,0.45,0.165,1.285,0.416,0.2205,0.42,13
64129,M,0.675,0.515,0.19,1.7395,0.8485,0.2955,0.462,10
64130,M,0.48,0.365,0.125,0.528,0.2,0.103,0.16,9
64131,F,0.66,0.535,0.17,1.5175,0.711,0.3125,0.415,10
64132,M,0.54,0.46,0.16,0.869,0.3425,0.195,0.319,11
64133,I,0.525,0.39,0.135,0.6325,0.3055,0.137,0.1855,8
64134,M,0.57,0.45,0.135,0.879,0.348,0.1905,0.235,12
64135,M,0.575,0.405,0.145,0.9865,0.4525,0.2205,0.22,9
64136,I,0.46,0.365,0.125,0.415,0.1645,0.108,0.125,9
64137,I,0.465,0.33,0.09,0.4085,0.171,0.072,0.088,8
64138,I,0.475,0.365,0.085,0.428,0.2125,0.079,0.12,8
64139,I,0.525,0.4,0.13,0.6455,0.325,0.1455,0.16,9
64140,M,0.625,0.495,0.17,1.337,0.615,0.3115,0.3375,9
64141,M,0.59,0.46,0.17,1.0815,0.5385,0.272,0.285,11
64142,I,0.27,0.2,0.065,0.086,0.038,0.02,0.03,6
64143,M,0.585,0.42,0.145,0.9275,0.4025,0.2185,0.28,9
64144,I,0.35,0.265,0.075,0.1775,0.0605,0.042,0.064,7
64145,M,0.56,0.425,0.135,0.9685,0.416,0.2275,0.235,10
64146,M,0.55,0.425,0.13,0.7665,0.3,0.1585,0.202,11
64147,F,0.62,0.49,0.17,1.137,0.4675,0.2325,0.309,9
64148,M,0.575,0.45,0.17,1.0915,0.4575,0.2315,0.32,11
64149,M,0.57,0.43,0.145,0.966,0.4015,0.2315,0.225,9
64150,I,0.45,0.345,0.11,0.4305,0.1965,0.0935,0.1185,8
64151,M,0.36,0.265,0.095,0.2,0.086,0.056,0.0735,14
64152,M,0.35,0.27,0.09,0.2,0.0995,0.0485,0.07,7
64153,I,0.475,0.37,0.115,0.498,0.2315,0.1125,0.165,8
64154,M,0.515,0.4,0.125,0.6965,0.3115,0.1295,0.24,10
64155,F,0.645,0.475,0.165,1.2515,0.5865,0.2985,0.2895,9
64156,I,0.445,0.355,0.105,0.4175,0.184,0.102,0.115,9
64157,I,0.415,0.325,0.105,0.3905,0.176,0.0955,0.125,7
64158,F,0.53,0.42,0.14,0.8115,0.4035,0.2035,0.2,7
64159,M,0.525,0.425,0.15,0.8325,0.313,0.1775,0.195,10
64160,I,0.46,0.345,0.105,0.4385,0.1875,0.081,0.13,9
64161,F,0.595,0.47,0.17,1.098,0.5305,0.2355,0.33,9
64162,M,0.59,0.465,0.165,0.9555,0.3685,0.1785,0.345,17
64163,I,0.32,0.24,0.09,0.1655,0.0625,0.0335,0.038,6
64164,I,0.29,0.23,0.075,0.106,0.0365,0.021,0.03,5
64165,M,0.45,0.36,0.125,0.482,0.2365,0.0985,0.15,11
64166,I,0.42,0.325,0.11,0.3515,0.1575,0.0865,0.11,8
64167,M,0.565,0.445,0.175,1.057,0.3745,0.1905,0.44,16
64168,M,0.54,0.41,0.145,0.869,0.3695,0.1905,0.235,11
64169,F,0.605,0.47,0.15,1.2565,0.539,0.283,0.34,9
64170,F,0.655,0.515,0.19,1.3695,0.6255,0.2775,0.3595,9
64171,M,0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17,8
64172,F,0.595,0.47,0.15,0.8915,0.359,0.177,0.2515,10
64173,F,0.55,0.42,0.14,0.8025,0.244,0.177,0.255,14
64174,I,0.27,0.18,0.07,0.0875,0.0285,0.0205,0.025,6
64175,F,0.565,0.455,0.18,1.0595,0.3475,0.1735,0.43,19
64176,I,0.17,0.125,0.035,0.0265,0.0135,0.0065,0.005,4
64177,M,0.44,0.35,0.125,0.4475,0.1735,0.0905,0.175,8
64178,F,0.645,0.49,0.165,1.1345,0.5265,0.2395,0.2815,9
64179,F,0.72,0.54,0.2,1.5805,0.802,0.326,0.4425,11
64180,F,0.58,0.445,0.135,0.869,0.3655,0.185,0.275,11
64181,F,0.585,0.455,0.225,1.3165,0.4235,0.2225,0.435,20
64182,F,0.72,0.565,0.18,1.7495,0.75,0.306,0.415,15
64183,I,0.475,0.35,0.12,0.567,0.2795,0.094,0.1325,8
64184,I,0.57,0.445,0.135,0.857,0.3445,0.2015,0.2575,9
64185,F,0.65,0.51,0.18,1.3275,0.6525,0.2655,0.3385,9
64186,M,0.67,0.545,0.18,1.6195,0.5235,0.3565,0.405,11
64187,F,0.575,0.455,0.15,1.041,0.4895,0.244,0.2775,9
64188,I,0.335,0.26,0.075,0.1735,0.078,0.0455,0.05,7
64189,I,0.475,0.38,0.135,0.525,0.2115,0.1125,0.16,8
64190,F,0.45,0.36,0.11,0.478,0.1725,0.105,0.16,8
64191,I,0.375,0.28,0.095,0.2845,0.1405,0.045,0.068,7
64192,M,0.585,0.455,0.2,0.9335,0.3745,0.1825,0.31,12
64193,I,0.515,0.395,0.14,0.5565,0.2555,0.115,0.19,10
64194,M,0.66,0.525,0.19,1.4405,0.6585,0.2975,0.3455,11
64195,I,0.425,0.32,0.08,0.394,0.159,0.08,0.12,7
64196,F,0.56,0.46,0.16,1.1015,0.547,0.2355,0.265,9
64197,I,0.33,0.255,0.085,0.1605,0.0615,0.0295,0.045,7
64198,F,0.57,0.46,0.15,1.068,0.5315,0.1975,0.23,10
64199,M,0.57,0.445,0.13,0.8115,0.3965,0.1825,0.24,9
64200,I,0.545,0.42,0.12,0.686,0.3265,0.1415,0.1815,10
64201,I,0.4,0.325,0.095,0.3185,0.134,0.0565,0.093,7
64202,M,0.645,0.525,0.19,1.8085,0.7035,0.3685,0.46,13
64203,I,0.455,0.35,0.125,0.435,0.1665,0.0855,0.134,8
64204,M,0.585,0.455,0.165,0.9775,0.412,0.1735,0.3045,10
64205,I,0.37,0.275,0.085,0.2225,0.0875,0.0555,0.0665,7
64206,I,0.255,0.185,0.065,0.076,0.044,0.018,0.025,5
64207,I,0.455,0.355,0.115,0.3935,0.169,0.0775,0.1115,7
64208,F,0.585,0.44,0.15,0.9555,0.366,0.2425,0.3,10
64209,F,0.6,0.475,0.15,1.0805,0.5265,0.2275,0.28,10
64210,F,0.56,0.42,0.17,0.944,0.3525,0.2005,0.2635,13
64211,I,0.43,0.315,0.1,0.358,0.164,0.066,0.0745,7
64212,M,0.47,0.37,0.115,0.4775,0.192,0.087,0.12,8
64213,M,0.58,0.44,0.15,0.8295,0.3365,0.2005,0.24,9
64214,I,0.285,0.2,0.065,0.096,0.042,0.0155,0.03,5
64215,F,0.57,0.44,0.15,0.8665,0.3695,0.1955,0.27,9
64216,F,0.57,0.445,0.13,0.8085,0.375,0.1565,0.23,8
64217,I,0.53,0.41,0.13,0.6385,0.321,0.1315,0.171,8
64218,I,0.5,0.385,0.115,0.6295,0.3165,0.1315,0.1555,8
64219,I,0.255,0.185,0.06,0.0625,0.0265,0.0185,0.02,6
64220,F,0.59,0.48,0.16,0.997,0.391,0.2455,0.345,8
64221,I,0.575,0.455,0.155,0.9955,0.3765,0.2175,0.277,10
64222,I,0.35,0.25,0.075,0.1735,0.0765,0.035,0.0575,5
64223,M,0.545,0.41,0.125,0.7635,0.2865,0.1955,0.285,17
64224,I,0.555,0.435,0.155,0.874,0.3275,0.1615,0.2075,10
64225,F,0.575,0.48,0.16,1.042,0.4575,0.2065,0.315,11
64226,F,0.49,0.37,0.115,0.5895,0.25,0.1285,0.18,10
64227,I,0.275,0.195,0.06,0.0745,0.0395,0.0155,0.025,6
64228,F,0.59,0.475,0.145,1.058,0.3935,0.2195,0.335,10
64229,M,0.635,0.51,0.17,1.3695,0.657,0.297,0.365,9
64230,M,0.465,0.365,0.115,0.457,0.1905,0.1075,0.12,8
64231,I,0.41,0.32,0.1,0.3025,0.148,0.0715,0.095,7
64232,M,0.605,0.49,0.17,1.1075,0.465,0.2785,0.405,12
64233,F,0.575,0.45,0.16,0.955,0.3325,0.2105,0.28,11
64234,M,0.72,0.575,0.195,2.0495,0.8255,0.4095,0.49,11
64235,I,0.355,0.27,0.09,0.205,0.078,0.0455,0.059,6
64236,M,0.53,0.415,0.145,0.811,0.3375,0.1845,0.205,12
64237,I,0.45,0.33,0.1,0.382,0.176,0.08,0.081,7
64238,I,0.435,0.33,0.12,0.4495,0.229,0.0945,0.12,7
64239,M,0.61,0.46,0.155,1.0265,0.485,0.2655,0.31,9
64240,I,0.34,0.27,0.085,0.197,0.0885,0.058,0.049,6
64241,I,0.335,0.23,0.085,0.1445,0.0575,0.0275,0.04,6
64242,I,0.405,0.305,0.11,0.33,0.157,0.0705,0.17,7
64243,F,0.61,0.485,0.17,1.1785,0.4645,0.3075,0.345,15
64244,M,0.545,0.395,0.16,0.6445,0.2895,0.1355,0.215,9
64245,F,0.505,0.385,0.155,0.686,0.285,0.1575,0.185,13
64246,M,0.63,0.525,0.175,1.165,0.4765,0.3015,0.3605,9
64247,I,0.27,0.195,0.065,0.084,0.0415,0.017,0.03,8
64248,M,0.56,0.455,0.125,0.982,0.4035,0.2145,0.24,9
64249,M,0.565,0.45,0.155,0.931,0.4695,0.196,0.22,8
64250,I,0.42,0.31,0.115,0.366,0.1885,0.09,0.0835,8
64251,I,0.615,0.495,0.15,1.065,0.547,0.229,0.2815,10
64252,F,0.465,0.36,0.125,0.494,0.1825,0.0865,0.19,12
64253,F,0.61,0.46,0.165,1.081,0.5085,0.2375,0.305,11
64254,M,0.605,0.46,0.14,1.08,0.4605,0.2315,0.29,9
64255,I,0.62,0.51,0.18,1.283,0.4535,0.3065,0.485,16
64256,M,0.625,0.445,0.155,1.027,0.4605,0.25,0.285,10
64257,F,0.605,0.465,0.175,1.133,0.391,0.2195,0.355,13
64258,I,0.58,0.45,0.15,0.873,0.3895,0.1725,0.2695,10
64259,F,0.615,0.475,0.165,1.129,0.5515,0.252,0.3635,11
64260,F,0.605,0.505,0.205,1.3445,0.501,0.2205,0.355,14
64261,I,0.425,0.31,0.095,0.312,0.143,0.0635,0.0965,7
64262,F,0.51,0.385,0.145,0.669,0.2325,0.151,0.205,10
64263,I,0.535,0.405,0.14,0.72,0.3535,0.137,0.18,8
64264,M,0.55,0.425,0.135,0.9265,0.3035,0.2035,0.295,14
64265,M,0.475,0.375,0.115,0.4645,0.215,0.094,0.1275,10
64266,F,0.58,0.455,0.145,1.0595,0.4925,0.2645,0.2815,9
64267,F,0.505,0.395,0.135,0.6245,0.2525,0.1595,0.167,9
64268,I,0.35,0.26,0.08,0.1855,0.08,0.0525,0.055,6
64269,M,0.5,0.39,0.135,0.66,0.3225,0.1415,0.168,8
64270,I,0.385,0.27,0.1,0.2665,0.1265,0.051,0.08,7
64271,F,0.635,0.515,0.16,1.3165,0.6565,0.269,0.39,11
64272,M,0.67,0.53,0.165,1.7045,0.7355,0.353,0.425,11
64273,F,0.715,0.53,0.18,1.978,0.861,0.4095,0.475,9
64274,M,0.545,0.435,0.145,0.974,0.4495,0.2065,0.2485,8
64275,F,0.605,0.475,0.165,1.056,0.433,0.2275,0.3,13
64276,M,0.6,0.465,0.155,1.0375,0.446,0.2585,0.25,11
64277,F,0.645,0.51,0.175,1.463,0.6465,0.3905,0.416,11
64278,M,0.535,0.46,0.17,1.0835,0.3595,0.2065,0.325,12
64279,F,0.53,0.415,0.14,0.6015,0.3055,0.1495,0.205,8
64280,F,0.635,0.475,0.15,1.0385,0.4935,0.2095,0.28,9
64281,I,0.515,0.395,0.125,0.646,0.2945,0.1395,0.15,8
64282,F,0.575,0.45,0.12,0.857,0.3605,0.17,0.239,9
64283,I,0.415,0.33,0.095,0.3505,0.1635,0.079,0.1195,8
64284,M,0.56,0.445,0.135,0.922,0.3875,0.2225,0.265,10
64285,M,0.555,0.45,0.14,0.868,0.33,0.217,0.21,11
64286,I,0.385,0.29,0.1,0.2755,0.127,0.0495,0.0735,8
64287,M,0.61,0.485,0.16,1.2235,0.4975,0.2895,0.355,12
64288,F,0.655,0.525,0.205,1.498,0.564,0.3855,0.405,13
64289,I,0.56,0.445,0.155,0.9605,0.4005,0.2165,0.279,11
64290,M,0.585,0.45,0.16,0.967,0.4635,0.2385,0.26,11
64291,I,0.505,0.405,0.135,0.7595,0.3125,0.138,0.27,10
64292,F,0.6,0.455,0.15,1.1005,0.486,0.259,0.275,11
64293,F,0.72,0.555,0.19,1.6015,0.5715,0.4095,0.52,14
64294,F,0.53,0.425,0.14,0.7805,0.3365,0.1425,0.225,8
64295,I,0.51,0.4,0.135,0.7125,0.3265,0.1295,0.195,8
64296,I,0.525,0.385,0.135,0.6015,0.2765,0.12,0.18,9
64297,M,0.55,0.43,0.16,0.8395,0.3155,0.1955,0.24,10
64298,I,0.275,0.215,0.095,0.106,0.0685,0.0185,0.03,7
64299,I,0.27,0.18,0.065,0.0685,0.0425,0.0185,0.0225,6
64300,F,0.545,0.435,0.14,0.804,0.34,0.194,0.244,9
64301,F,0.72,0.55,0.175,1.445,0.628,0.362,0.375,10
64302,I,0.54,0.38,0.135,0.619,0.2755,0.1455,0.1565,8
64303,I,0.33,0.215,0.065,0.1195,0.0565,0.0225,0.0405,4
64304,M,0.54,0.435,0.165,0.8425,0.4235,0.1735,0.255,9
64305,I,0.33,0.23,0.065,0.1385,0.064,0.0285,0.04,8
64306,F,0.465,0.37,0.125,0.58,0.235,0.13,0.205,10
64307,I,0.4,0.3,0.105,0.312,0.1265,0.0565,0.078,8
64308,M,0.575,0.45,0.155,0.874,0.3275,0.2135,0.235,12
64309,M,0.52,0.4,0.15,0.66,0.2485,0.1055,0.23,14
64310,F,0.6,0.49,0.19,1.2075,0.5385,0.282,0.365,10
64311,M,0.625,0.485,0.15,1.1805,0.5255,0.2635,0.3245,8
64312,I,0.57,0.445,0.14,0.8255,0.3345,0.1725,0.2225,9
64313,I,0.51,0.38,0.13,0.6395,0.2945,0.135,0.225,10
64314,I,0.475,0.37,0.12,0.4585,0.2145,0.099,0.1345,8
64315,I,0.355,0.285,0.09,0.197,0.0865,0.0325,0.066,7
64316,M,0.585,0.47,0.18,1.072,0.4625,0.2365,0.445,14
64317,I,0.185,0.135,0.04,0.027,0.0125,0.0055,0.009,4
64318,F,0.52,0.41,0.13,0.8705,0.4055,0.2115,0.213,7
64319,I,0.435,0.34,0.1,0.3685,0.1705,0.0725,0.115,8
64320,M,0.63,0.505,0.175,1.4005,0.7245,0.3105,0.315,10
64321,I,0.445,0.33,0.12,0.4385,0.2075,0.081,0.116,9
64322,I,0.21,0.15,0.05,0.0385,0.0115,0.005,0.01,4
64323,F,0.585,0.475,0.185,0.9585,0.4145,0.1615,0.33,12
64324,M,0.57,0.455,0.14,0.9885,0.414,0.215,0.265,12
64325,F,0.575,0.45,0.145,0.966,0.4085,0.2265,0.275,10
64326,M,0.545,0.425,0.135,0.832,0.427,0.137,0.2245,8
64327,M,0.605,0.485,0.165,1.147,0.5605,0.2775,0.285,9
64328,M,0.585,0.48,0.15,0.945,0.4625,0.196,0.27,9
64329,I,0.465,0.37,0.13,0.594,0.2295,0.1175,0.17,8
64330,F,0.615,0.495,0.16,1.217,0.5305,0.296,0.33,8
64331,I,0.615,0.475,0.135,0.9885,0.387,0.1605,0.28,10
64332,I,0.26,0.195,0.07,0.0965,0.0425,0.019,0.0305,5
64333,M,0.475,0.37,0.125,0.5245,0.216,0.128,0.1615,10
64334,M,0.67,0.515,0.185,1.4605,0.6605,0.3305,0.41,10
64335,F,0.58,0.47,0.14,0.9115,0.4255,0.2425,0.295,10
64336,I,0.36,0.265,0.085,0.1835,0.072,0.0455,0.06,7
64337,F,0.525,0.415,0.13,0.6935,0.3115,0.152,0.1855,9
64338,I,0.295,0.22,0.07,0.1185,0.0455,0.0235,0.035,6
64339,I,0.33,0.23,0.075,0.14,0.056,0.0235,0.04,6
64340,F,0.645,0.5,0.105,1.137,0.4605,0.228,0.24,8
64341,I,0.46,0.345,0.115,0.4155,0.1655,0.0885,0.127,7
64342,I,0.525,0.41,0.12,0.6435,0.3125,0.144,0.2,8
64343,F,0.75,0.565,0.205,2.0065,1.0465,0.4085,0.498,11
64344,I,0.555,0.43,0.135,0.8415,0.3045,0.197,0.3,12
64345,F,0.635,0.5,0.165,1.3715,0.564,0.3025,0.354,9
64346,F,0.475,0.355,0.12,0.4965,0.246,0.1125,0.1325,8
64347,I,0.385,0.31,0.1,0.302,0.152,0.057,0.0935,6
64348,F,0.595,0.455,0.15,1.0025,0.5255,0.2475,0.275,10
64349,F,0.595,0.47,0.2,1.1565,0.3675,0.2225,0.41,12
64350,I,0.51,0.4,0.125,0.5955,0.288,0.121,0.167,8
64351,I,0.425,0.33,0.1,0.382,0.1785,0.0835,0.096,7
64352,I,0.3,0.24,0.07,0.156,0.115,0.035,0.043,6
64353,I,0.325,0.23,0.07,0.1495,0.0565,0.0295,0.04,7
64354,M,0.6,0.475,0.16,1.1735,0.5175,0.302,0.309,11
64355,F,0.725,0.575,0.215,1.859,0.7735,0.3825,0.44,9
64356,M,0.61,0.48,0.14,0.9795,0.3605,0.2315,0.26,15
64357,I,0.47,0.35,0.115,0.4775,0.2625,0.102,0.1035,7
64358,I,0.37,0.275,0.095,0.257,0.099,0.051,0.085,8
64359,M,0.72,0.565,0.195,1.9125,0.8825,0.4095,0.547,10
64360,M,0.575,0.45,0.17,0.858,0.3355,0.1665,0.265,12
64361,M,0.67,0.55,0.18,1.5585,0.6285,0.2895,0.49,16
64362,M,0.415,0.345,0.115,0.3975,0.1525,0.0885,0.148,11
64363,F,0.57,0.445,0.15,1.059,0.4935,0.2045,0.33,10
64364,I,0.555,0.43,0.145,0.7545,0.3525,0.148,0.2015,8
64365,M,0.58,0.46,0.15,0.9715,0.375,0.1855,0.2765,10
64366,F,0.575,0.45,0.135,0.869,0.41,0.1725,0.24,9
64367,I,0.295,0.22,0.06,0.1195,0.031,0.022,0.035,6
64368,F,0.585,0.475,0.165,0.991,0.354,0.1815,0.3055,11
64369,F,0.555,0.44,0.14,0.958,0.296,0.197,0.27,14
64370,F,0.53,0.425,0.155,0.785,0.315,0.175,0.275,12
64371,I,0.425,0.325,0.1,0.3795,0.1525,0.08,0.105,7
64372,I,0.255,0.175,0.06,0.1185,0.0265,0.024,0.0255,5
64373,I,0.48,0.37,0.135,0.6245,0.261,0.142,0.151,7
64374,F,0.68,0.56,0.175,1.7265,0.637,0.3585,0.475,11
64375,F,0.625,0.495,0.165,1.3855,0.5595,0.318,0.345,10
64376,I,0.36,0.27,0.095,0.2255,0.096,0.056,0.07,6
64377,I,0.475,0.35,0.105,0.4935,0.233,0.0855,0.1035,7
64378,I,0.175,0.125,0.04,0.0235,0.009,0.0035,0.0065,4
64379,M,0.58,0.475,0.165,1.1165,0.4655,0.3195,0.2935,9
64380,I,0.28,0.205,0.06,0.086,0.036,0.022,0.034,6
64381,M,0.63,0.5,0.195,1.3135,0.4935,0.2565,0.465,16
64382,F,0.59,0.445,0.155,0.9885,0.4625,0.2095,0.265,11
64383,I,0.49,0.38,0.125,0.5615,0.252,0.12,0.1745,9
64384,F,0.62,0.47,0.15,1.1385,0.556,0.2745,0.311,9
64385,M,0.645,0.495,0.175,1.2615,0.5265,0.2645,0.46,15
64386,F,0.435,0.35,0.105,0.4785,0.193,0.1115,0.119,9
64387,I,0.235,0.16,0.05,0.0545,0.0115,0.008,0.0145,3
64388,M,0.56,0.425,0.115,0.802,0.3065,0.1575,0.225,12
64389,M,0.58,0.455,0.165,0.97,0.3395,0.2185,0.295,12
64390,F,0.66,0.525,0.165,1.3255,0.5585,0.3015,0.44,13
64391,I,0.29,0.215,0.08,0.1285,0.053,0.0235,0.035,5
64392,I,0.51,0.4,0.13,0.656,0.3215,0.1285,0.1725,8
64393,F,0.65,0.545,0.21,1.5455,0.708,0.3595,0.4735,11
64394,M,0.505,0.385,0.16,0.6415,0.2715,0.1365,0.215,22
64395,M,0.565,0.43,0.155,0.872,0.3285,0.1725,0.25,13
64396,I,0.515,0.4,0.12,0.6355,0.3355,0.105,0.16,8
64397,I,0.525,0.4,0.115,0.5825,0.2725,0.123,0.17,8
64398,I,0.445,0.335,0.1,0.3975,0.1785,0.0615,0.105,9
64399,I,0.28,0.195,0.055,0.0615,0.026,0.011,0.02,5
64400,F,0.635,0.505,0.175,1.2635,0.512,0.322,0.386,11
64401,M,0.61,0.475,0.165,1.1535,0.6055,0.2175,0.2775,10
64402,M,0.61,0.48,0.165,1.27,0.6065,0.262,0.315,9
64403,I,0.39,0.3,0.1,0.292,0.138,0.0835,0.0935,7
64404,F,0.635,0.505,0.175,1.4385,0.6465,0.2655,0.4,14
64405,I,0.32,0.23,0.07,0.1555,0.061,0.0385,0.045,7
64406,M,0.695,0.52,0.195,1.7405,0.8115,0.3175,0.48,13
64407,M,0.575,0.45,0.135,0.8465,0.364,0.2135,0.239,9
64408,F,0.62,0.47,0.17,1.207,0.4605,0.3395,0.32,12
64409,F,0.67,0.525,0.185,1.5175,0.7285,0.3685,0.39,11
64410,F,0.39,0.29,0.125,0.3055,0.121,0.0595,0.085,6
64411,I,0.36,0.265,0.09,0.2215,0.0805,0.0465,0.086,7
64412,M,0.19,0.12,0.015,0.0265,0.0135,0.0095,0.01,9
64413,I,0.295,0.225,0.08,0.106,0.037,0.027,0.0295,6
64414,M,0.575,0.45,0.14,0.8775,0.3305,0.1835,0.275,10
64415,I,0.52,0.395,0.12,0.6625,0.2855,0.12,0.17,9
64416,F,0.51,0.4,0.165,0.7165,0.1925,0.146,0.215,6
64417,I,0.435,0.335,0.105,0.3295,0.14,0.07,0.1205,8
64418,F,0.545,0.405,0.16,1.1185,0.543,0.2345,0.285,12
64419,F,0.575,0.45,0.15,0.868,0.3935,0.1735,0.24,11
64420,M,0.465,0.37,0.105,0.4775,0.2,0.1035,0.15,9
64421,M,0.525,0.4,0.135,0.6855,0.3275,0.1565,0.18,8
64422,M,0.58,0.45,0.16,1.1155,0.5235,0.2105,0.3,11
64423,F,0.635,0.495,0.175,1.2075,0.545,0.2645,0.375,10
64424,I,0.495,0.375,0.125,0.5605,0.2375,0.1175,0.165,9
64425,I,0.56,0.45,0.16,0.958,0.3475,0.181,0.25,16
64426,M,0.575,0.45,0.155,0.873,0.3615,0.1845,0.239,11
64427,F,0.54,0.44,0.145,0.879,0.3765,0.176,0.3,20
64428,M,0.5,0.39,0.135,0.636,0.2455,0.144,0.1855,10
64429,I,0.28,0.21,0.07,0.1275,0.041,0.0215,0.03,6
64430,M,0.56,0.45,0.145,0.835,0.342,0.1615,0.27,10
64431,F,0.645,0.515,0.165,1.4395,0.5845,0.3595,0.405,13
64432,I,0.33,0.25,0.075,0.18,0.074,0.031,0.056,9
64433,F,0.58,0.455,0.165,1.056,0.4785,0.2195,0.355,14
64434,I,0.445,0.325,0.1,0.3745,0.1635,0.065,0.105,9
64435,M,0.58,0.435,0.145,0.8365,0.38,0.1585,0.265,9
64436,M,0.46,0.34,0.12,0.4485,0.1955,0.0885,0.13,7
64437,M,0.675,0.525,0.18,1.5105,0.6645,0.3615,0.375,11
64438,F,0.635,0.475,0.18,1.3655,0.631,0.2945,0.344,9
64439,M,0.57,0.445,0.135,0.8295,0.3485,0.1685,0.255,10
64440,M,0.725,0.565,0.2,1.9025,0.9265,0.419,0.5,11
64441,I,0.465,0.37,0.12,0.5805,0.2495,0.1055,0.14,8
64442,F,0.555,0.465,0.145,0.9125,0.4,0.1825,0.278,9
64443,I,0.16,0.12,0.035,0.021,0.0075,0.0035,0.005,5
64444,M,0.485,0.37,0.115,0.5425,0.244,0.1255,0.15,8
64445,M,0.545,0.445,0.16,0.8715,0.3525,0.1905,0.225,17
64446,I,0.275,0.205,0.07,0.096,0.028,0.0225,0.0255,4
64447,M,0.485,0.38,0.125,0.591,0.239,0.1395,0.167,10
64448,I,0.515,0.385,0.115,0.5785,0.2435,0.127,0.1785,9
64449,M,0.595,0.495,0.18,1.0825,0.4315,0.2325,0.315,10
64450,I,0.45,0.35,0.13,0.4195,0.1695,0.0945,0.119,7
64451,I,0.385,0.29,0.115,0.2575,0.111,0.057,0.075,7
64452,M,0.65,0.515,0.17,1.539,0.7115,0.3535,0.355,9
64453,I,0.48,0.38,0.125,0.4625,0.2055,0.13,0.141,7
64454,M,0.585,0.46,0.16,0.99,0.4075,0.2265,0.2385,9
64455,I,0.275,0.195,0.065,0.1135,0.055,0.0205,0.0305,7
64456,F,0.725,0.51,0.175,1.5545,0.6935,0.3735,0.386,11
64457,F,0.59,0.465,0.16,0.923,0.3875,0.2145,0.2415,8
64458,I,0.5,0.38,0.145,0.6025,0.2165,0.1275,0.175,14
64459,I,0.65,0.495,0.18,1.626,0.597,0.3415,0.53,26
64460,I,0.62,0.48,0.14,1.0805,0.4815,0.2075,0.33,9
64461,I,0.2,0.145,0.045,0.032,0.025,0.0075,0.011,4
64462,M,0.605,0.465,0.15,0.928,0.4205,0.16,0.26,10
64463,I,0.41,0.315,0.1,0.3505,0.1675,0.0735,0.1,8
64464,M,0.65,0.515,0.195,1.4685,0.5015,0.3115,0.49,21
64465,M,0.665,0.5,0.17,1.514,0.5565,0.2695,0.45,13
